Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Arena + Burst,0,1,8.26,590073856,0,6/13/2025 13:13
Arena + Burst,0,2,1.381,595124224,0,6/13/2025 13:13
Arena + Burst,0,3,1.332,595312640,0,6/13/2025 13:13
Arena + Burst,0,4,1.421,595312640,0,6/13/2025 13:13
Arena + Burst,0,5,1.391,595312640,0,6/13/2025 13:13
Arena + Burst,1,1,1.453,616292352,0,6/13/2025 13:13
Arena + Burst,1,2,1.247,616292352,0,6/13/2025 13:13
Arena + Burst,1,3,1.212,616292352,0,6/13/2025 13:13
Arena + Burst,1,4,1.326,616292352,0,6/13/2025 13:13
Arena + Burst,1,5,1.095,616292352,0,6/13/2025 13:13
Arena + Burst,2,1,1.238,637272064,0,6/13/2025 13:13
Arena + Burst,2,2,1.311,637517824,0,6/13/2025 13:13
Arena + Burst,2,3,1.192,637517824,0,6/13/2025 13:13
Arena + Burst,2,4,1.178,637517824,0,6/13/2025 13:13
Arena + Burst,2,5,1.227,637517824,0,6/13/2025 13:13
Arena + Burst,3,1,1.225,658497536,0,6/13/2025 13:13
Arena + Burst,3,2,1.269,658497536,0,6/13/2025 13:13
Arena + Burst,3,3,1.349,658497536,0,6/13/2025 13:13
Arena + Burst,3,4,1.442,658497536,0,6/13/2025 13:13
Arena + Burst,3,5,1.179,658497536,0,6/13/2025 13:13
Arena + Burst,4,1,1.224,679477248,0,6/13/2025 13:13
Arena + Burst,4,2,1.176,679477248,0,6/13/2025 13:13
Arena + Burst,4,3,1.313,679477248,0,6/13/2025 13:13
Arena + Burst,4,4,1.291,679477248,0,6/13/2025 13:13
Arena + Burst,4,5,1.252,679477248,0,6/13/2025 13:13
Arena + Burst,5,1,1.29,700469248,0,6/13/2025 13:13
Arena + Burst,5,2,1.392,700473344,0,6/13/2025 13:13
Arena + Burst,5,3,1.197,593981440,0,6/13/2025 13:13
Arena + Burst,5,4,1.204,593981440,0,6/13/2025 13:13
Arena + Burst,5,5,1.173,593981440,0,6/13/2025 13:13
Arena + Burst,6,1,1.335,614961152,0,6/13/2025 13:13
Arena + Burst,6,2,1.173,614961152,0,6/13/2025 13:13
Arena + Burst,6,3,1.343,614961152,0,6/13/2025 13:13
Arena + Burst,6,4,1.173,614965248,0,6/13/2025 13:13
Arena + Burst,6,5,1.179,614965248,0,6/13/2025 13:13
Arena + Burst,7,1,1.2,635944960,0,6/13/2025 13:13
Arena + Burst,7,2,1.314,635944960,0,6/13/2025 13:13
Arena + Burst,7,3,1.207,635944960,0,6/13/2025 13:13
Arena + Burst,7,4,1.165,636051456,0,6/13/2025 13:13
Arena + Burst,7,5,1.24,636051456,0,6/13/2025 13:13
Arena + Burst,8,1,1.137,657031168,0,6/13/2025 13:13
Arena + Burst,8,2,1.532,657031168,0,6/13/2025 13:13
Arena + Burst,8,3,1.306,657031168,0,6/13/2025 13:13
Arena + Burst,8,4,1.254,657031168,0,6/13/2025 13:13
Arena + Burst,8,5,1.294,657031168,0,6/13/2025 13:13
Arena + Burst,9,1,1.321,678010880,0,6/13/2025 13:13
Arena + Burst,9,2,1.208,678010880,0,6/13/2025 13:13
Arena + Burst,9,3,1.481,678010880,0,6/13/2025 13:13
Arena + Burst,9,4,1.178,678010880,0,6/13/2025 13:13
Arena + Burst,9,5,1.173,678010880,0,6/13/2025 13:13
Arena + Burst,10,1,1.368,698990592,0,6/13/2025 13:13
Arena + Burst,10,2,1.353,698990592,0,6/13/2025 13:13
Arena + Burst,10,3,1.185,698990592,0,6/13/2025 13:13
Arena + Burst,10,4,1.129,698990592,0,6/13/2025 13:13
Arena + Burst,10,5,1.155,698990592,0,6/13/2025 13:13
Arena + Burst,11,1,1.242,598183936,0,6/13/2025 13:13
Arena + Burst,11,2,1.358,598183936,0,6/13/2025 13:13
Arena + Burst,11,3,1.324,598183936,0,6/13/2025 13:13
Arena + Burst,11,4,1.195,598183936,0,6/13/2025 13:13
Arena + Burst,11,5,1.091,598183936,0,6/13/2025 13:13
Arena + Burst,12,1,1.203,619163648,0,6/13/2025 13:13
Arena + Burst,12,2,1.286,619163648,0,6/13/2025 13:13
Arena + Burst,12,3,1.252,619163648,0,6/13/2025 13:13
Arena + Burst,12,4,1.255,619163648,0,6/13/2025 13:13
Arena + Burst,12,5,1.158,619163648,0,6/13/2025 13:13
Arena + Burst,13,1,1.159,640151552,0,6/13/2025 13:13
Arena + Burst,13,2,1.158,640151552,0,6/13/2025 13:13
Arena + Burst,13,3,1.163,640151552,0,6/13/2025 13:13
Arena + Burst,13,4,1.115,640151552,0,6/13/2025 13:13
Arena + Burst,13,5,1.209,640151552,0,6/13/2025 13:13
Arena + Burst,14,1,1.22,661131264,0,6/13/2025 13:13
Arena + Burst,14,2,1.124,661131264,0,6/13/2025 13:13
Arena + Burst,14,3,1.389,661131264,0,6/13/2025 13:13
Arena + Burst,14,4,1.23,661131264,0,6/13/2025 13:13
Arena + Burst,14,5,1.331,661131264,0,6/13/2025 13:13
Arena + Burst,15,1,1.265,682110976,0,6/13/2025 13:13
Arena + Burst,15,2,1.232,682110976,0,6/13/2025 13:13
Arena + Burst,15,3,1.178,682110976,0,6/13/2025 13:13
Arena + Burst,15,4,1.158,682110976,0,6/13/2025 13:13
Arena + Burst,15,5,1.161,682110976,0,6/13/2025 13:13
Arena + Burst,16,1,1.425,703090688,0,6/13/2025 13:13
Arena + Burst,16,2,1.174,703090688,0,6/13/2025 13:13
Arena + Burst,16,3,1.426,703090688,0,6/13/2025 13:13
Arena + Burst,16,4,1.179,703090688,0,6/13/2025 13:13
Arena + Burst,16,5,1.17,703090688,0,6/13/2025 13:13
Arena + Burst,17,1,1.439,724070400,0,6/13/2025 13:13
Arena + Burst,17,2,1.253,598192128,0,6/13/2025 13:13
Arena + Burst,17,3,1.308,598192128,0,6/13/2025 13:13
Arena + Burst,17,4,1.133,598192128,0,6/13/2025 13:13
Arena + Burst,17,5,1.391,598192128,0,6/13/2025 13:13
Arena + Burst,18,1,1.365,619171840,0,6/13/2025 13:13
Arena + Burst,18,2,1.256,619171840,0,6/13/2025 13:13
Arena + Burst,18,3,1.233,619171840,0,6/13/2025 13:13
Arena + Burst,18,4,1.106,619171840,0,6/13/2025 13:13
Arena + Burst,18,5,1.361,619171840,0,6/13/2025 13:13
Arena + Burst,19,1,1.16,640151552,0,6/13/2025 13:13
Arena + Burst,19,2,1.16,640151552,0,6/13/2025 13:13
Arena + Burst,19,3,1.335,640151552,0,6/13/2025 13:13
Arena + Burst,19,4,1.092,640151552,0,6/13/2025 13:13
Arena + Burst,19,5,1.153,640151552,0,6/13/2025 13:13
Arena + Burst,20,1,1.338,661131264,0,6/13/2025 13:13
