Label,Cycle,FrameInCycle,Milliseconds,MemoryBytes,GCCollections,Timestamp
Managed + Burst,0,1,5.796,617197568,0,2025-06-13 13:32:48
Managed + Burst,0,2,1.811,642994176,0,2025-06-13 13:32:49
Managed + Burst,0,3,1.740,664076288,0,2025-06-13 13:32:49
Managed + Burst,0,4,1.608,685056000,0,2025-06-13 13:32:49
Managed + Burst,0,5,1.684,706035712,0,2025-06-13 13:32:49
Managed + Burst,1,1,16.714,641986560,1,2025-06-13 13:32:49
Managed + Burst,1,2,1.569,662966272,0,2025-06-13 13:32:49
Managed + Burst,1,3,1.685,683945984,0,2025-06-13 13:32:49
Managed + Burst,1,4,1.607,704925696,0,2025-06-13 13:32:49
Managed + Burst,1,5,1.653,725905408,0,2025-06-13 13:32:49
Managed + Burst,2,1,2.486,746885120,0,2025-06-13 13:32:49
Managed + Burst,2,2,1.531,667176960,0,2025-06-13 13:32:49
Managed + Burst,2,3,1.561,688156672,0,2025-06-13 13:32:49
Managed + Burst,2,4,1.865,709136384,0,2025-06-13 13:32:49
Managed + Burst,2,5,1.668,730116096,0,2025-06-13 13:32:49
Managed + Burst,3,1,2.263,751095808,0,2025-06-13 13:32:49
Managed + Burst,3,2,2.035,772075520,0,2025-06-13 13:32:49
Managed + Burst,3,3,11.287,692367360,1,2025-06-13 13:32:49
Managed + Burst,3,4,1.751,713347072,0,2025-06-13 13:32:49
Managed + Burst,3,5,1.825,734326784,0,2025-06-13 13:32:49
Managed + Burst,4,1,1.718,755306496,0,2025-06-13 13:32:49
Managed + Burst,4,2,1.639,776286208,0,2025-06-13 13:32:49
Managed + Burst,4,3,2.120,797265920,0,2025-06-13 13:32:49
Managed + Burst,4,4,1.550,717557760,0,2025-06-13 13:32:49
Managed + Burst,4,5,1.883,738537472,0,2025-06-13 13:32:50
Managed + Burst,5,1,1.591,759517184,0,2025-06-13 13:32:50
Managed + Burst,5,2,1.659,780496896,0,2025-06-13 13:32:50
Managed + Burst,5,3,2.028,801476608,0,2025-06-13 13:32:50
Managed + Burst,5,4,1.952,822456320,0,2025-06-13 13:32:50
Managed + Burst,5,5,1.634,742748160,0,2025-06-13 13:32:50
Managed + Burst,6,1,1.853,763727872,0,2025-06-13 13:32:50
Managed + Burst,6,2,1.595,784707584,0,2025-06-13 13:32:50
Managed + Burst,6,3,1.845,805687296,0,2025-06-13 13:32:50
Managed + Burst,6,4,1.738,826671104,0,2025-06-13 13:32:50
Managed + Burst,6,5,1.905,847650816,0,2025-06-13 13:32:50
Managed + Burst,7,1,28.353,868642816,0,2025-06-13 13:32:50
Managed + Burst,7,2,26.516,889655296,0,2025-06-13 13:32:50
Managed + Burst,7,3,2.000,769372160,0,2025-06-13 13:32:50
Managed + Burst,7,4,1.551,790351872,0,2025-06-13 13:32:50
Managed + Burst,7,5,1.726,811331584,0,2025-06-13 13:32:50
Managed + Burst,8,1,1.785,832311296,0,2025-06-13 13:32:50
Managed + Burst,8,2,1.675,853291008,0,2025-06-13 13:32:50
Managed + Burst,8,3,1.702,874270720,0,2025-06-13 13:32:50
Managed + Burst,8,4,1.862,794562560,0,2025-06-13 13:32:50
Managed + Burst,8,5,1.639,815542272,0,2025-06-13 13:32:50
Managed + Burst,9,1,1.804,836521984,0,2025-06-13 13:32:50
Managed + Burst,9,2,1.766,857501696,0,2025-06-13 13:32:50
Managed + Burst,9,3,2.042,878481408,0,2025-06-13 13:32:50
Managed + Burst,9,4,1.662,899461120,0,2025-06-13 13:32:50
Managed + Burst,9,5,1.597,819752960,0,2025-06-13 13:32:50
Managed + Burst,10,1,1.629,840732672,0,2025-06-13 13:32:50
Managed + Burst,10,2,1.769,861712384,0,2025-06-13 13:32:50
Managed + Burst,10,3,1.577,882692096,0,2025-06-13 13:32:50
Managed + Burst,10,4,1.592,903671808,0,2025-06-13 13:32:50
Managed + Burst,10,5,1.734,924651520,0,2025-06-13 13:32:50
Managed + Burst,11,1,10.708,844943360,1,2025-06-13 13:32:50
Managed + Burst,11,2,1.651,865923072,0,2025-06-13 13:32:50
Managed + Burst,11,3,1.761,886902784,0,2025-06-13 13:32:50
Managed + Burst,11,4,1.912,907882496,0,2025-06-13 13:32:51
Managed + Burst,11,5,1.690,928862208,0,2025-06-13 13:32:51
Managed + Burst,12,1,1.588,949841920,0,2025-06-13 13:32:51
